text,timestamp,likes,retweets
"A proper #12thMan performance from the #WxmAFC Faithful right from the off, today. A cracking Away day! https://t.co/DycUzXBf6O",Sat Aug 31 23:23:48 +0000 2024,53,7
"Holding on Texas A&amp;M pushes the Aggies back ten.

It’s second and 20.

Reed is sacked and it’ll be third and Navasota as BG takes a timeout.

#GigEm | #12thMan",Sun Sep 22 00:50:38 +0000 2024,2,1
Words can't explain how much I love my teammates and my university! Did what everyone said we couldn't! #gigem #12thMan,Sun Nov 11 02:37:58 +0000 2012,1430,3169
Aggies call a timeout with :45 left in the half. They have 1st and 10 on the +36 and two TO's. A chance to cash in some points. #12thMan #GigEm,Sun Sep 22 00:52:53 +0000 2024,2,1
"#TAMUvsBGSU WX: Going to be hot &amp; breezy (SE at 10-20 mph) for tailgates w/high of 96, but low humidity. For the game, it will be mostly sunny &amp; very warm w/SE wind at 10-15 mph. Kick/Half/End Temp: 92/87/84. Heat Index: 93 to start &amp; 85 to end. #BTHOBowlingGreen! #12thMan https://t.co/mo0VeqbmZG",Tue Sep 17 10:49:09 +0000 2024,3,0
"It’s #GameDay !!

#SeavsTen #12s #12thMan #gohawks #seahawks #photoball #lensball https://t.co/7rhKgkBwd5",Sat Aug 17 19:22:08 +0000 2024,20,0
"#TAMUvsBGSU WX: Partly cloudy, very warm to start, w/a touch of humidity. Southerly wind 5-10 mph. Kick/Half/End Temp: 92/87/84. Heat Index: 95 &amp; then 85 by 4th Quarter. #BTHOBowlingGreen! #12thMan https://t.co/xDHJboShA6",Mon Sep 16 11:19:27 +0000 2024,2,0
"The #12thMan doesn’t turn against you for leaving. 

They turn against you for lying.",Wed Jun 26 00:02:28 +0000 2024,2102,132
"The play call, the patience, and the decision to unload it while rolling to the left. All great things by the Aggies for a 73-yard TD from Marcel Reed to Cyrus Allen. #12thMan #GigEm  https://t.co/I0WhANJAji",Sat Sep 14 22:52:13 +0000 2024,268,5
"There’s always a reason to be grateful and my reason is my boys 🫶🏾🫶🏾!

Family BBQ/Team Picture Day, dressed and staying cool in this maroon look from my friends at Lane Bryant!

We got 14 days until kickoff 🏈 

#lanestyle
#plussizestyle 
#GigEm
#12thman https://t.co/f0PH04NkiY",Sat Aug 17 20:45:53 +0000 2024,366,8
ANOTHER WIN!!! 3-0 feels great! Not the prettiest game but started fast and never let them have a chance to get back into it! Fantastic start to the season thus far! GO #SEAHAWKS! #12thMan 💙💚,Sun Sep 22 23:22:08 +0000 2024,4,1
"The #12thMan kick-off team takes the field for the first time this season 👍 

#GigEm https://t.co/SZGml3RIZK",Sat Sep 07 18:42:54 +0000 2024,630,60
Congratulations @Danie1lewis on being selected as the Malcolm Piggott POTW! #PFTWC. #12thman. @CoachAshe1906 @TD_DLine @byronsjones @Lawton8Matt @ThomasDaleDSA @TDKnightsFB @ajmclaurin4 @_reavisisland https://t.co/oy9iu0HOH4,Fri Sep 06 10:05:11 +0000 2024,23,8
Weigman transfer reed is so dialed #12thman,Sat Sep 14 20:21:45 +0000 2024,9,0
I have officially committed to Texas A&amp;M University!!!! #GigEm #WRTS #12thMan I'm baaaaacccckkkk!!!,Wed Feb 04 17:34:51 +0000 2015,3313,2827
"📍 Hall of Champions

@earleybaseball will be introduced to the #12thMan at 1 p.m. CT 👍 #GigEm https://t.co/8BdlfTvjdr",Tue Jul 02 17:30:24 +0000 2024,331,10
"How we feelin’, #12thMan???

First pitch is set for 6:09 p.m. CT 👍 https://t.co/6vYA6xy3nH",Mon Jun 24 22:35:48 +0000 2024,205,11
"Back at it!

It’s #GameDay !!

#SeavsLAC #12s #12thMan #gohawks #seahawks #photoball #lensball https://t.co/3zXTyaL0Hz",Sat Aug 10 19:23:53 +0000 2024,21,0
"🚨UPDATE:

Kam Chancellor is the #12thman Flag Raiser today! 

[📷: Brace Hemmelgarn/USA TODAY Sports] https://t.co/Mo9dmVqKc7",Sun Sep 08 18:36:29 +0000 2024,860,40
"Now former #Seahawks with a heartfelt message to the Seattle Seahawks organization and the #12s/#12thman:

[📷: Kyle Terada/USA TODAY Sports] https://t.co/vDdsAkk5PX",Mon Aug 05 23:29:48 +0000 2024,1186,53
"Celebrating the versatile Lalettan today 🫶

#Neru #MalaikottaiVaaliban #Alone #12thMan https://t.co/UPDfg7K2Fv",Tue May 21 07:50:44 +0000 2024,25,2
"#TAMUvsUF WX: Showers &amp; storms starting earlier will keep temps in upper-70s to around 80. N wind 5 mph, except higher near storms. Expect 1-2 hours of total delays due to lightning w/in 8 miles. Kick/Half/End Temp: 77/80/79. Heat Index: 80-85. #BTHOflorida! #12thMan https://t.co/OdaSFs9aPE",Sat Sep 14 12:19:12 +0000 2024,13,1
"Here’s to a season full of style and touchdowns  🏈👍🏾

Big thanks to @lanebryant for outfitting me in this fantastic maroon look for the Aggie Football season. 

#lanestyle #aggiepride #12thman #FootballSeason #GameDayOutfit #PlusSizeFashion #AggieMom #GigEm https://t.co/s4pQ5OauHC",Sun Aug 11 01:08:23 +0000 2024,228,3
"Mike Elko Calls Out Texas A&amp;M Aggies: 'You Can't Do That'

#GigEm #TAMU #12thMan

https://t.co/fsyWJ2zG0k",Mon Sep 23 20:27:02 +0000 2024,0,1
📢 Aaayyyyooo 12s.. SEA you in a few.. IM COMIN' HOME! #Seahawks #12thman #Round2 http://t.co/am8tOXAwmu,Wed Apr 16 23:44:50 +0000 2014,2002,1658
"Road Trippin’ to Omaha w/ Easton for the CWS!

⚾️🛣️🚐

Day 1 - Getaway Day! The hope is to make it to Norman tonight!

#CWS #12thMan #GigEm https://t.co/wLmbO3xdAE",Thu Jun 13 21:45:48 +0000 2024,257,3
"Texas A&amp;M DL on Practicing vs. Marcel Reed: 'It Made Us Better'

#GigEm #TAMU #12thMan

https://t.co/zf1FAR1czr",Wed Sep 18 20:35:36 +0000 2024,3,1
"আল্ট্রাস গ্যালারিতে রবসনের মতাদর্শ একটি উৎকৃষ্ট উদাহরণ হতে পারে যিনি মনে করেছিলেন'— 'প্রথম 90 মিনিট সবচেয়ে গুরুত্বপূর্ণ' ✨🤨

@mohunbagansg #Ultras #12thMan🔝

#JoyMohunBagan 👑
#Mariners #MohunBagan #Mdx 💥
#GreenMaroonloyalUltras 😈
#MbAc1889 👏🏻
🟢🇮🇳🔴 https://t.co/fRlXkYR8kd",Sun Sep 08 08:28:44 +0000 2024,105,3
"Road Trippin’ to Omaha w/ Easton for the CWS!

⚾️🛣️🚐

Day 5 - More extreme putt-putt, watched Inside Out 2, did a call-in with @RBinBCS on @ChipSportsTalk and now … A&amp;M vs. UK with Cousin Andy!

#CWS #12thMan #GigEm https://t.co/Q4GQiG2TCk",Tue Jun 18 00:23:23 +0000 2024,39,0
":12 into the 1st half, Seattle scored on a safety.
:12 into the 2nd half, Seattle scored on a touchdown.
Can't make this stuff up. #12thman",Mon Feb 03 01:38:29 +0000 2014,4057,8087
We Ready! #12thMan #Seahawks https://t.co/zRibWOx4cA,Sun Sep 22 15:10:29 +0000 2024,3,0
"Join the family and join our #12thManClub Today‼️ You don’t want to miss out on the fun❗️

Link in our bio!!!

#FearTheMoose #FearIt #Uncommon #12thMan https://t.co/AWFOjtuNt9",Mon Jul 08 23:12:10 +0000 2024,21,7
"We could make it to the superbowl , GO HAWKS!!!!!!! #Seahawks #12thman #GoHawks #HawksNest https://t.co/N5cliX3d8P",Sun Sep 22 23:47:24 +0000 2024,2,0
"Had a great time in Aggieland. Thank you @AggieFootball for for the invitation. Especially honored to get to meet and talk with Coach @rcslocum. 

@CoachMikeElko @CoachBateman @TonyJerodEddie @SpenceChaos #12thMan https://t.co/T7pufVPx3c",Sun Sep 08 14:19:27 +0000 2024,194,10
"Week 1: Defensive Scout Player of the Week #12thMan goes to @HAYDENTHRONEBE1 - Strong Safety, FR - Moses Lake, WA.
 
Bright future for this young Buc. Smart, disciplined, and ATTACKS the football.  

Great job, Hayden!! 

 #DISRUPTERS ☠️ https://t.co/oCah5i5zks",Tue Sep 10 18:12:40 +0000 2024,21,5
"9,000 tickets issued in the first 3 hours of student ticket pull!

Safe to say the #12thMan is more than ready for @AggieFootball. https://t.co/KGsL4KKslB",Mon Aug 26 16:49:40 +0000 2024,709,42
"জাদুকর আজ লাল হলুদ জার্সিতেই নামলেন
#madihtalal
#12thman 
#eastbengalfc https://t.co/ibh6K5TxcR",Wed Jul 17 11:11:17 +0000 2024,328,5
