text,timestamp,likes,retweets
"明日12時よりオンラインショップにてフレークシールが発売されます！🎉
https://t.co/P9tosoEzt5

2枚目のように6柄で1セット🕺
ハッピーとノーマルがあります。

20枚入り。400円(税抜)
サイズは2cmぐらいです。

店舗での発売はもう少々お待ちください🙇‍♂️ https://t.co/rpTopMCr5n",Sun May 26 10:03:18 +0000 2019,2613,403
"That's a wrap on the #NFLDraft. 👍

🔗 https://t.co/8IwMuebfm4

#NFLAggies #GigEm https://t.co/e2PyCY758n",Sun Apr 28 00:07:37 +0000 2024,191,14
"thanks for all the recent orders #nrgfam !!! if you haven’t heard yet all our merch is on https://t.co/2jOFMO0d0f we’re selling through this entire collection, and want everyone to have a chance to grab something before it’s gone 👊 https://t.co/enoMg50rOO",Mon Sep 16 23:50:08 +0000 2019,868,53
"MYLES GARRETT 😳 

#NFLAggies x #GigEm https://t.co/vfFzLqvDya",Sun Nov 19 18:26:02 +0000 2023,294,11
"LETS GO ACHANE 🙌 

#GigEm x #NFLAggies https://t.co/CMLKxGSWle",Sun Sep 24 17:37:41 +0000 2023,146,12
"Can’t catch Achane 🔥 

#GigEm x #NFLAggies https://t.co/JbkKTP9X9V",Sun Oct 08 20:08:17 +0000 2023,180,9
"The 🐐 

#NFLAggies x #GigEm https://t.co/tEhkfkvnhz",Fri Oct 27 03:53:32 +0000 2023,47,1
"👀 💪🏻 

#GigEm x #NFLAggies https://t.co/4qBDbJAMgG",Sun Sep 24 18:46:20 +0000 2023,131,4
"YESSIR @tdots25 👏🏻 

#GigEm x #NFLAggies https://t.co/nGdAzmoF4m",Sun Oct 08 16:01:10 +0000 2023,25,0
"Bringing the energy. 🔋

#NFLAggies x #GigEm https://t.co/JxrTSsa101",Tue Mar 19 15:51:40 +0000 2024,131,3
"The #NFLDraft begins tonight. Best of luck to our guys!

#NFLAggies  #GigEm https://t.co/LPIW53CvhT",Thu Apr 25 17:28:42 +0000 2024,366,36
"Lookin' good, @macfrmGSF_ 😎

#NFLAggies #GigEm https://t.co/Njta1AC9FY",Sat Apr 27 03:56:45 +0000 2024,171,6
"Super excited to GIVEAWAY 
5 whitelist spots for @NeuromodNFTs 

They made this amazing 1/1 to showcase the art 🔥 

To enter:
- Follow @NeuromodNFTs and @GBabies_Alpha 
-Like and Retweet
- tell a friend why they’re special

Ends in 24 hours🤌 https://t.co/FZDutZvALy",Sun Apr 17 15:23:40 +0000 2022,224,204
"We're teaming up with our friends at @Purple to give the #NRGFam some new gear

🏡 Follow @NRGgg + @Purple 
💞 RT + Like
✌️ Tag Two Friends

Enter Here 👉 https://t.co/Cbzisnjfor https://t.co/99Hw4iW8sS",Thu Sep 16 18:49:13 +0000 2021,5615,3346
"🍂 𝐆𝐈𝐕𝐄𝐀𝐖𝐀𝐘 𝐀𝐋𝐄𝐑𝐓 🍂 

🗣️ MONTH 2 OF #FanFUELED IS HERE, PEOPLE! And to celebrate we're GIVING AWAY a DIGI CAMO #GFUEL FRDIGE every Friday for the next 4 weeks!

🔎 Peep the deets on the flyer, follow the rules and good luck!

❗ 𝐑𝐔𝐋𝐄𝐒: https://t.co/nKUQqPF8bP https://t.co/lITTZtdVLw",Mon Nov 01 21:29:01 +0000 2021,500,126
Polish Barbz have joined the #GagCityFlags. 🇵🇱 https://t.co/nzUKm8ZDz8,Sat Jun 08 12:57:37 +0000 2024,441,67
"LETS GOOOOO @therealdemani 👏🏻 

#GigEm x #NFLAggies https://t.co/YF4LDlSnJK",Sun Aug 18 02:48:44 +0000 2024,94,1
"Dallas finals celebration!✌ I'm doing a funky giveaway: I will pick 5 amazing people to get some legit @NiPGaming socks. I rock them every day! 😍 To enter the giveaway:
✔️ Follow me.
✔️ Tag two friends or retweet.

Will pick the winners on April 30th! Enter now! #GONINJAS https://t.co/sEC1df07NB",Thu Apr 12 18:30:48 +0000 2018,174,161
"Who Dey!

@macfrmGSF_ 🤝 @Bengals 

#NFLAggies x #GigEm https://t.co/dLrKVQsqBn",Sat Apr 27 03:16:29 +0000 2024,606,77
"We see you @boimarv9 👏🏻 

#GigEm x #NFLAggies https://t.co/mxw65PbTl7",Sat Aug 10 14:58:20 +0000 2024,62,5
"GISELLE POSTED THE GIFTS I GOT HER!!!! I MADE HER THE GIGI CAREBEAR, ANGEL KEYCHAIN, BAG , AND HAT GIGI I LOVE YOUUUUUU https://t.co/HVSv3j5I2T",Sat Oct 15 22:47:17 +0000 2022,491,79
"Eagles' head coach Nick Sirianni on their new Swiss Army Knife @ainias_smith: ""He's extremely tough... It's going to be fun to see how we can get him the football""
#NFLAggies #GigEm https://t.co/zqMVEHMseS",Sun Apr 28 21:18:22 +0000 2024,244,21
"@S2RSoon2Rise Don’t fade NFTY FLAKES, minting is live 😎",Sat Sep 21 09:18:34 +0000 2024,1,0
idk why but this was the first thing i thought of when i saw the nrg logo. toy soldiers anyone? https://t.co/0WMcUatJ1H,Mon Jul 22 16:51:21 +0000 2019,317,11
"💀GIVEAWAY X @TheLilFrens 🎊

@GBabies_Alpha are collaborating with @TheLilFrens for 3x WL spots!

To enter:

- Follow @TheLilFrens @GBabies_Alpha @NickyGee44 
- Like and Retweet
- Tag a friend and share a memory

Ends in 24 hours 👶 https://t.co/gwSb9ZhK6m",Tue Apr 19 14:46:24 +0000 2022,833,768
"Gm to everyone who gm back 🤝

Excited for this new week specially for DeGods III 🫡 https://t.co/0wk84Bf3eD",Mon Aug 07 09:46:14 +0000 2023,172,2
"GGWP @tyloogaming - 16:12

We are one step away from the legend stage!
👕https://t.co/NxFtQMK9Ex

#GONINJAS #CSGO #FACEITMajor https://t.co/QUi8uyZi5Y",Thu Sep 06 11:18:49 +0000 2018,402,36
"I thought HISS was the biggest L, BUT THIS IS GOING DOWN IN HISTORY!!! #NOGRAMMYFORGRANNY https://t.co/KnSbLDZsar",Sun Feb 04 22:23:54 +0000 2024,970,136
"That boy Von going crazyyyyyy 👀👍 @ffvmousvon_ 

SIX TOUCHDOWNS IN TWO GAMES
#GigEm #NFLAggies",Sun Oct 01 17:52:43 +0000 2023,82,5
