text,timestamp,likes,retweets
"FOR THE RECORD:

Gunther Eagleman’s real name is David Freeman.

He lasted 3 years on the Harker Heights Police force in Texas.

What racist, misogynistic, white dude, can’t make it as a cop in Texas?

I’m pretty sure @GuntherEagleman is the only one. https://t.co/hUKHPBJABL",Tue Jul 09 12:26:08 +0000 2024,5134,1548
"My name is Micah Erfan.

I'm a Gen-Z Organizer from Texas working every day to support Joe Biden and Democrats in fighting against far-right extremism and strengthening our democracy.

Will you join me? 🗳️🇺🇸 https://t.co/TMLsgnKoKR",Sun Dec 10 15:53:34 +0000 2023,2404,500
"I don’t want to overreact but we might need to kick Texas A&amp;M out of college football entirely.

 https://t.co/Ycd58ecXm0",Thu May 30 02:30:17 +0000 2024,17245,794
"Just bought 1,000 orange Jell-O shots to put Tennessee back in the lead over Texas A&amp;M. If you’re in Omaha, head to Rocco’s. And let’s have a great game three. Go Vols! https://t.co/QGMrCGUEDO",Mon Jun 24 01:02:33 +0000 2024,8717,441
"70k is crazy. 

I’m just a girl who lays tile on 𝕏
I love you guys https://t.co/qPJYdZBCsT",Sat Sep 21 18:05:45 +0000 2024,7522,199
Someone stop Texas A&amp;M https://t.co/xfot3jWlCM,Sun Sep 10 19:00:26 +0000 2023,3103,232
"How can anyone ignore this line of college students waiting to meet ⁦@BetoORourke⁩ ? It was phenomenal , I'm telling you. Students have other things to do, but decided to wait for THIS man, say hello &amp; get a pic. Texas, what's up? https://t.co/cl9OAhBwZk",Thu Sep 29 03:30:17 +0000 2022,5390,1077
"We went over to Ireland last week &amp; I said I’m gonna be behind the Fighting Irish FOREVER..

I GOT TO COLLEGE STATION &amp; SAW THAT BIG ASS AMERICAN FLAG..

I SEE ELKO’S BIG ASS HEAD

GIME ME TEXAS A&amp;M #CollegeGameDay https://t.co/7AORBXa8FH",Sat Aug 31 16:06:34 +0000 2024,11945,1018
Texas A&amp;M escapes Bowling Green 😳 https://t.co/LpVAPhEa73,Sun Sep 22 02:53:49 +0000 2024,91,3
"HOLY SH*T!

Kevin O'Leary ROASTS Tim Walz starting  that he is “the best governor for Texas, for Florida for North and South Dakota but not for Minnesota.”

“I'm looking at the track record of an individual who came into a state and wiped out job creation. He wiped out job https://t.co/gfULWaGWnJ",Wed Aug 14 01:39:11 +0000 2024,34507,10732
"Anonymous Coach Comments on Texas A&amp;M from Athlon Sports CFB Magazine:

""They could be really scary on defense.

""The program has a chance to shift its entire identity this season to hard-nosed, defensive-minded, all that stuff, which can really fit that place. They could be a https://t.co/d46XSYc8zA",Sun Jun 02 17:56:46 +0000 2024,596,55
