text,created_at,retweet_count,favorite_count
"Texas A&amp;M announces enrollment of 69,000+ students across all campuses, remaining the largest university in Texas and continuing our commitment to serving the state and world! https://t.co/6zZ7zhXKHx #tamu https://t.co/tcvSl0gjpX",Mon Sep 30 19:25:16 +0000 2019,451,62
"It's our 141st birthday! 👍🎈🎂 

On Oct. 4, 1876, we opened our doors &amp; became the first public institution of #HigherEd in Texas! #tamu https://t.co/gcS8Clr6ep",Wed Oct 04 14:23:30 +0000 2017,3619,1668
"Am I the only one that believes A&amp;M isn’t gonna hold up their end of the bargain?

A night game at Auburn is some nasty work, but also it’s A&amp;M football. https://t.co/20t3VqaVSG",Mon Nov 18 22:33:49 +0000 2024,238,5
"Texas A&amp;M University researchers believe a close “cousin” of the dangerous E. coli bacteria could be used to treat UTIs. 

Read more about the cutting-edge biomedical research: https://t.co/OukWAH6F1L https://t.co/N0vmmH0Jkp",Thu Nov 14 16:11:07 +0000 2024,21,1
"East Texas A&amp;M - 1
Everyone else - 0

The #ETAMU era of Lion Football kicks off with a huge DUB! 🦁 https://t.co/CWMfA1nBF1",Sun Nov 10 01:01:07 +0000 2024,178,34
"Announcing the inaugural Women’s Health Symposium hosted by the Department of Primary Care and Rural Medicine in the College of Medicine at Texas A&amp;M University on January 31, 2025! Visit https://t.co/COv4VTwmsd to register. https://t.co/8id5ZfCDwD",Mon Nov 25 18:01:24 +0000 2024,2,0
"Make the Texas A&amp;M University grads in your life merry &amp; bright with the valedictorian of gifts - an @tamu diploma frame! #holidaygift ❄️ 🦌 ⛄🎄

 #tamu #texasaggies #texasam @diplomaframe #ChurchHillClassics #earnitframeit https://t.co/ZRTbIXt4l2",Tue Nov 26 19:00:19 +0000 2024,0,0
"Every November 18th, Texas A&amp;M remembers the 12 lives lost in the 1999 Bonfire tragedy. The Bonfire Memorial stands as a reminder of their legacy and the unity that defines the Aggie Spirit. Join us in honoring them. #NeverForgotten #AggieSpirit

🔗: https://t.co/99lTUxeYcQ https://t.co/WY17V4mLjL",Sun Nov 17 19:05:06 +0000 2024,871,158
"Texas A&amp;M University System Board of Regents has voted to change the name of Texas A&amp;M University-Commerce to East Texas A&amp;M University, effective immediately. https://t.co/dulqnraBaj",Thu Nov 07 20:49:01 +0000 2024,91,30
"The rivalry is back.

Are you coming to the Texas A&amp;M University campus during Lone Star Showdown weekend? TTI Traffic Expert Debbie Albert and @TAMUTransport offer tips on parking, shuttles and additional transportation options. | https://t.co/A0pYdC3QBe https://t.co/t73watzbfo",Wed Nov 27 18:01:50 +0000 2024,0,0
"The Texas A&amp;M University System Board of Regents overruled the faculty and unanimously directed the university to disband an LGBTQ+ studies minor. The LGBTQ Studies minor is one of 52 programs that administrators said were low-producing

https://t.co/ibwgnX1Ncb",Fri Nov 08 14:53:55 +0000 2024,155,24
"Congratulations to 2025 grad Raul Trevino on your commitment to Texas A&amp;M International University!
@raultrevino26 
@TAMIU_BSB 
#Twelve2025
#AnotherOne
#TwelveLife https://t.co/aDsF4t7g6b",Wed Nov 06 18:13:20 +0000 2024,38,10
"Today is Texas A&amp;M's 143rd birthday! 👍

On Oct. 4, 1876, we opened our doors &amp; became the first public institution of higher education in Texas! #tamu https://t.co/KpAOpD363p",Fri Oct 04 14:01:23 +0000 2019,3152,877
